disasterNumber,declarationDate,declarationTitle,state
941,1992-04-15T00:00:00.000Z,FLOODING,IL
3539,2020-08-23T00:00:00.000Z,HURRICANE MARCO AND TROPICAL STORM LAURA,MS
1203,1998-02-09T00:00:00.000Z,SEVERE WINTER STORMS AND FLOODING,CA
4285,2016-10-10T00:00:00.000Z,HURRICANE MATTHEW,NC
1770,2008-06-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",NE
3104,1993-03-16T00:00:00.000Z,SEVERE SNOWFALL & WINTER STORM,KY
2927,2011-06-20T00:00:00.000Z,DYER MILL FIRE,TX
3112,1993-03-25T00:00:00.000Z,SEVERE WINTER STORM,VA
1534,2004-08-03T00:00:00.000Z,SEVERE STORMS AND FLOODING,NY
3057,1978-01-27T00:00:00.000Z,BLIZZARDS & SNOWSTORMS,MI
3049,1977-08-11T00:00:00.000Z,DROUGHT,NC
1606,2005-09-24T00:00:00.000Z,HURRICANE RITA ,TX
4346,2017-10-16T00:00:00.000Z,HURRICANE IRMA,SC
1910,2010-05-06T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORMS,MD
1737,2008-01-04T00:00:00.000Z,SEVERE WINTER STORM,IA
1370,2001-05-16T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND TORNADOES",MN
1601,2005-08-23T00:00:00.000Z,TROPICAL STORM CINDY,LA
4129,2013-07-12T00:00:00.000Z,SEVERE STORMS AND FLOODING,NY
3359,2012-10-29T00:00:00.000Z,HURRICANE SANDY,VA
3232,2005-09-10T00:00:00.000Z,HURRICANE KATRINA EVACUATION,MO
1233,1998-07-07T00:00:00.000Z,SEVERE STORMS AND FLOODING,NY
4375,2018-06-29T00:00:00.000Z,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,NE
4563,2020-09-20T00:00:00.000Z,HURRICANE SALLY,AL
4570,2020-10-16T00:00:00.000Z,HURRICANE DELTA ,LA
4546,2020-05-21T00:00:00.000Z,SEVERE STORMS AND FLOODING,AL
1072,1995-10-13T00:00:00.000Z,FLOODING,AK
1380,2001-06-11T00:00:00.000Z,TROPICAL STORM ALLISON,LA
1134,1996-09-06T00:00:00.000Z,HURRICANE FRAN,NC
3459,2020-03-13T00:00:00.000Z,COVID-19 ,LA
3351,2012-10-28T00:00:00.000Z,HURRICANE SANDY,NY
1318,2000-02-28T00:00:00.000Z,SEVERE WINTER STORMS,VA
4512,2020-04-02T00:00:00.000Z,COVID-19 PANDEMIC,VA
555,1978-04-22T00:00:00.000Z,"STORMS, ICE JAMS, SNOWMELT & FLOODING",MN
1873,2010-02-05T00:00:00.000Z,SNOWSTORM,NJ
3450,2020-03-13T00:00:00.000Z,COVID-19 ,WV
3444,2020-03-13T00:00:00.000Z,COVID-19 ,ME
1021,1994-04-11T00:00:00.000Z,SEVERE WINTER ICE STORM,VA
1016,1994-03-16T00:00:00.000Z,SEVERE WINTER WEATHER AND ICE STORMS,MD
1824,2009-03-02T00:00:00.000Z,"SEVERE WINTER STORM, RECORD AND NEAR RECORD SNOW",OR
4574,2020-12-11T00:00:00.000Z,TROPICAL STORM ISAIAS,NJ
4332,2017-08-25T00:00:00.000Z,HURRICANE HARVEY,TX
3184,2003-03-27T00:00:00.000Z,SNOW,NY
530,1977-04-07T00:00:00.000Z,SEVERE STORMS & FLOODING,VA
4154,2013-10-31T00:00:00.000Z,SEVERE WINTER STORM,ND
673,1982-12-13T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",AR
865,1990-05-15T00:00:00.000Z,SEVERE STORMS & FLOODING,AR
4057,2012-03-06T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",KY
532,1977-04-09T00:00:00.000Z,SEVERE STORMS & FLOODING,AL
975,1992-12-21T00:00:00.000Z,WINTER COASTAL STORM,MA
914,1991-08-26T00:00:00.000Z,HURRICANE BOB,MA
3555,2021-02-17T00:00:00.000Z,SEVERE WINTER STORM,OK
1311,2000-01-28T00:00:00.000Z,SEVERE WINTER STORM,GA
368,1973-03-27T00:00:00.000Z,"HEAVY RAINS, TORNADOES & FLOODING",MS
3349,2012-10-28T00:00:00.000Z,HURRICANE SANDY,MD
3026,1977-01-29T00:00:00.000Z,SNOWSTORMS,PA
3261,2005-09-21T00:00:00.000Z,HURRICANE RITA,TX
3499,2020-03-13T00:00:00.000Z,COVID-19 ,OK
1163,1997-03-04T00:00:00.000Z,"SEVERE STORM, FLOODING, AND TORNADOES",KY
4503,2020-03-29T00:00:00.000Z,COVID-19 PANDEMIC,AL
1469,2003-05-15T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",IL
3459,2020-03-13T00:00:00.000Z,COVID-19 ,LA
577,1979-04-16T00:00:00.000Z,"STORMS, TORNADOES, FLOODS",MS
4267,2016-03-23T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,PA
3096,1993-03-15T00:00:00.000Z,"SEVERE SNOWFALL, WINTER STORM",AL
4117,2013-05-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",OK
4124,2013-06-25T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",AR
3460,2020-03-13T00:00:00.000Z,COVID-19 ,NM
931,1992-01-22T00:00:00.000Z,SEVERE STORMS & FLOODING,PR
1014,1994-03-10T00:00:00.000Z,"SEVERE ICE STORMS, FLOODING",VA
997,1993-07-09T00:00:00.000Z,SEVERE STORMS & FLOODING,IL
3261,2005-09-21T00:00:00.000Z,HURRICANE RITA,TX
4375,2018-06-29T00:00:00.000Z,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,NE
313,1971-09-18T00:00:00.000Z,"HEAVY RAINS, HIGH WINDS & FLOODING",TX
4285,2016-10-10T00:00:00.000Z,HURRICANE MATTHEW,NC
4345,2017-10-16T00:00:00.000Z,TROPICAL STORM HARVEY,LA
695,1983-12-13T00:00:00.000Z,"SEVERE STORMS,FLOODING AND TORNADOES",AL
1751,2008-03-26T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",AR
3591,2023-01-09T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",CA
1136,1996-09-11T00:00:00.000Z,HURRICANE HORTENSE,PR
3002,1974-08-29T00:00:00.000Z,IMPACT OF DROUGHT,PR
1081,1996-01-11T00:00:00.000Z,BLIZZARD OF 96 (SEVERE SNOW STORM),MD
944,1992-05-19T00:00:00.000Z,SEVERE STORMS & FLOODING,VA
951,1992-08-04T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",OH
1845,2009-06-16T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",AR
1164,1997-03-04T00:00:00.000Z,SEVERE STORMS AND FLOODING,OH
1624,2006-01-11T00:00:00.000Z,EXTREME WILDFIRE THREAT,TX
1135,1996-09-06T00:00:00.000Z,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,VA
1739,2008-01-11T00:00:00.000Z,SEVERE WINTER STORM,NE
999,1993-07-19T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",SD
1089,1996-01-13T00:00:00.000Z,BLIZZARD OF 96 ,KY
4712,2023-05-17T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADO",TN
1594,2005-07-10T00:00:00.000Z,HURRICANE DENNIS,MS
4314,2017-05-22T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",MS
390,1973-06-04T00:00:00.000Z,MUDSLIDES,OH
596,1979-07-31T00:00:00.000Z,SEVERE STORMS & FLOODING,IN
527,1977-02-05T00:00:00.000Z,SNOWSTORMS,NY
1354,2000-12-29T00:00:00.000Z,SEVERE WINTER ICE STORM,AR
4573,2020-12-10T00:00:00.000Z,HURRICANE ZETA,AL
4543,2020-05-08T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",NC
3033,1977-03-02T00:00:00.000Z,DROUGHT & FREEZING,NC
4498,2020-03-28T00:00:00.000Z,COVID-19 PANDEMIC,CO
1167,1997-03-07T00:00:00.000Z,"HEAVY RAINS, TORNADOES, FLOODING, HAIL, HIGH WINDS",TN
1075,1996-01-05T00:00:00.000Z,SEVERE WINTER STORM,SD
1209,1998-03-11T00:00:00.000Z,SEVERE STORMS AND FLOODING,GA
3387,2017-09-08T00:00:00.000Z,HURRICANE IRMA,GA
3434,2020-03-13T00:00:00.000Z,COVID-19 ,NY
1005,1993-10-28T00:00:00.000Z,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",CA
3028,1977-02-02T00:00:00.000Z,SNOWSTORMS,IN
1363,2001-03-13T00:00:00.000Z,SEVERE STORMS AND FLOODING,AR
4072,2012-07-27T00:00:00.000Z,SEVERE STORMS AND STRAIGHT-LINE WINDS,VA
4527,2020-04-05T00:00:00.000Z,COVID-19 PANDEMIC,SD
3458,2020-03-13T00:00:00.000Z,COVID-19 ,TX
4506,2020-03-30T00:00:00.000Z,COVID-19 PANDEMIC,PA
3371,2014-07-23T00:00:00.000Z,WILDFIRES,WA
928,1991-12-26T00:00:00.000Z,ICE STORM,IA
859,1990-02-28T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",MS
4512,2020-04-02T00:00:00.000Z,COVID-19 PANDEMIC,VA
1340,2000-08-30T00:00:00.000Z,WILDFIRES,MT
3107,1993-03-17T00:00:00.000Z,SEVERE BLIZZARD,NY
1454,2003-03-14T00:00:00.000Z,"SEVERE WINTER ICE AND SNOW STORMS, HEAVY RAIN, FLOODING, TORNADOES, AND MUD AND ",KY
1573,2005-01-21T00:00:00.000Z,SEVERE WINTER STORMS AND FLOODING,IN
3222,2005-09-05T00:00:00.000Z,HURRICANE KATRINA EVACUATION,NC
1818,2009-02-05T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,KY
4730,2023-08-23T00:00:00.000Z,FLOODING,AK
3112,1993-03-25T00:00:00.000Z,SEVERE WINTER STORM,VA
720,1984-08-17T00:00:00.000Z,"SEVERE STORMS, MUDSLIDES, LANDSLIDES & FLOODING",UT
4484,2020-03-24T00:00:00.000Z,COVID-19 PANDEMIC,LA
1391,2001-09-11T00:00:00.000Z,FIRES AND EXPLOSIONS,NY
1830,2009-04-09T00:00:00.000Z,SEVERE STORMS AND FLOODING,MN
1518,2004-05-25T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",IA
3585,2022-09-29T00:00:00.000Z,HURRICANE IAN,SC
4308,2017-04-01T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",CA
3186,2003-08-23T00:00:00.000Z,POWER OUTAGE,NY
4508,2020-03-31T00:00:00.000Z,COVID-19 PANDEMIC,MT
1693,2007-04-25T00:00:00.000Z,SEVERE STORMS AND INLAND AND COASTAL FLOODING,ME
4416,2019-02-25T00:00:00.000Z,SEVERE STORMS AND FLOODING,TX
4339,2017-09-20T00:00:00.000Z,HURRICANE MARIA,PR
1122,1996-06-24T00:00:00.000Z,FLOODING,OH
4400,2018-10-14T00:00:00.000Z,HURRICANE MICHAEL,GA
3455,2020-03-13T00:00:00.000Z,COVID-19 ,MI
3225,2005-09-07T00:00:00.000Z,HURRICANE KATRINA EVACUATION,MI
4485,2020-03-25T00:00:00.000Z,COVID-19 PANDEMIC,TX
4698,2023-04-02T00:00:00.000Z,SEVERE STORMS AND TORNADOES,AR
4313,2017-05-18T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",ID
3482,2020-03-13T00:00:00.000Z,COVID-19 ,MO
4214,2015-04-13T00:00:00.000Z,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",MA
3471,2020-03-13T00:00:00.000Z,COVID-19 ,NC
1089,1996-01-13T00:00:00.000Z,BLIZZARD OF 96 ,KY
3401,2018-09-10T00:00:00.000Z,HURRICANE FLORENCE,NC
